Country,State,District,Year,Social Group Type,Land Area Size,Category Of Holdings,"Wholly Irrigated Holdings (UOM:Number), Scaling Factor:1","Area Of Wholly Irrigated Holdings (UOM:Ha(Hectare)), Scaling Factor:1","Wholly Unirrigated Holdings (UOM:Number), Scaling Factor:1","Area Of Wholly Unirrigated Holdings (UOM:Ha(Hectare)), Scaling Factor:1","Partially Irrigated Holdings (UOM:Number), Scaling Factor:1","Irrigated Area Of Partially Irrigated Holdings (UOM:Ha(Hectare)), Scaling Factor:1","Area Of Partially Irrigated Holdings (UOM:Ha(Hectare)), Scaling Factor:1","Holdings Receiving Irrigation (UOM:Number), Scaling Factor:1","Net Irrigated Area Of Holdings Receiving Irrigation (UOM:Ha(Hectare)), Scaling Factor:1"
India,Andaman And Nicobar Islands,Nicobars,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,(10.0-20.0),Large,0,0,0,0,0,0,0,0,0
India,Andaman And Nicobar Islands,Nicobars,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,(2.0-3.0),Semi-Medium,0,0,0,0,0,0,0,0,0
India,Andaman And Nicobar Islands,Nicobars,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,(3.0-4.0),Semi-Medium,0,0,0,0,0,0,0,0,0
India,Andaman And Nicobar Islands,Nicobars,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,(4.0-5.0),Medium,0,0,0,0,0,0,0,0,0
India,Andaman And Nicobar Islands,Nicobars,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,(5.0-7.5),Medium,0,0,0,0,0,0,0,0,0
India,Andaman And Nicobar Islands,Nicobars,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,(7.5-10.0),Medium,0,0,0,0,0,0,0,0,0
India,Andaman And Nicobar Islands,Nicobars,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,20 & Above,Large,0,0,0,0,0,0,0,0,0
India,Andaman And Nicobar Islands,Nicobars,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,Below 0.5,Marginal,0,0,0,0,0,0,0,0,0
India,Andaman And Nicobar Islands,Nicobars,"Agriculture Year (Jul - Jun), 2015",Scheduled Tribes,(0.5-1.0),Marginal,0,0,0,0,0,0,0,0,0
India,Andaman And Nicobar Islands,Nicobars,"Agriculture Year (Jul - Jun), 2015",Scheduled Tribes,(1.0-2.0),Small,0,0,0,0,0,0,0,0,0
India,Andaman And Nicobar Islands,Nicobars,"Agriculture Year (Jul - Jun), 2015",Scheduled Tribes,(10.0-20.0),Large,0,0,0,0,0,0,0,0,0
India,Andaman And Nicobar Islands,Nicobars,"Agriculture Year (Jul - Jun), 2015",Scheduled Tribes,(2.0-3.0),Semi-Medium,0,0,0,0,0,0,0,0,0
India,Andaman And Nicobar Islands,Nicobars,"Agriculture Year (Jul - Jun), 2015",Scheduled Tribes,(3.0-4.0),Semi-Medium,0,0,0,0,0,0,0,0,0
India,Andaman And Nicobar Islands,Nicobars,"Agriculture Year (Jul - Jun), 2015",Scheduled Tribes,Below 0.5,Marginal,0,0,0,0,0,0,0,0,0
India,Andaman And Nicobar Islands,Nicobars,"Agriculture Year (Jul - Jun), 2015",Scheduled Tribes,(4.0-5.0),Medium,0,0,0,0,0,0,0,0,0
India,Andaman And Nicobar Islands,Nicobars,"Agriculture Year (Jul - Jun), 2015",Scheduled Tribes,(5.0-7.5),Medium,0,0,0,0,0,0,0,0,0
India,Andaman And Nicobar Islands,Nicobars,"Agriculture Year (Jul - Jun), 2015",Scheduled Tribes,(7.5-10.0),Medium,0,0,0,0,0,0,0,0,0
India,Andaman And Nicobar Islands,Nicobars,"Agriculture Year (Jul - Jun), 2015",Scheduled Tribes,20 & Above,Large,0,0,0,0,0,0,0,0,0
India,Andaman And Nicobar Islands,North And Middle Andaman,"Agriculture Year (Jul - Jun), 2015",Institutional,(3.0-4.0),Semi-Medium,0,0,5,9.076,0,0,0,0,0
India,Andaman And Nicobar Islands,North And Middle Andaman,"Agriculture Year (Jul - Jun), 2015",Scheduled Tribes,Below 0.5,Marginal,0,0,0,0,0,0,0,0,0
India,Andaman And Nicobar Islands,North And Middle Andaman,"Agriculture Year (Jul - Jun), 2015",Scheduled Tribes,20 & Above,Large,0,0,0,0,0,0,0,0,0
India,Andaman And Nicobar Islands,North And Middle Andaman,"Agriculture Year (Jul - Jun), 2015",Scheduled Tribes,(7.5-10.0),Medium,0,0,0,0,0,0,0,0,0
India,Andaman And Nicobar Islands,North And Middle Andaman,"Agriculture Year (Jul - Jun), 2015",Scheduled Tribes,(5.0-7.5),Medium,0,0,0,0,0,0,0,0,0
India,Andaman And Nicobar Islands,North And Middle Andaman,"Agriculture Year (Jul - Jun), 2015",Scheduled Tribes,(4.0-5.0),Medium,0,0,0,0,0,0,0,0,0
India,Andaman And Nicobar Islands,North And Middle Andaman,"Agriculture Year (Jul - Jun), 2015",Scheduled Tribes,(3.0-4.0),Semi-Medium,0,0,0,0,0,0,0,0,0
India,Andaman And Nicobar Islands,North And Middle Andaman,"Agriculture Year (Jul - Jun), 2015",Scheduled Tribes,(2.0-3.0),Semi-Medium,0,0,0,0,0,0,0,0,0
India,Andaman And Nicobar Islands,North And Middle Andaman,"Agriculture Year (Jul - Jun), 2015",Scheduled Tribes,(10.0-20.0),Large,0,0,0,0,0,0,0,0,0
India,Andaman And Nicobar Islands,North And Middle Andaman,"Agriculture Year (Jul - Jun), 2015",Scheduled Tribes,(1.0-2.0),Small,0,0,0,0,0,0,0,0,0
India,Andaman And Nicobar Islands,North And Middle Andaman,"Agriculture Year (Jul - Jun), 2015",Scheduled Tribes,(0.5-1.0),Marginal,0,0,0,0,0,0,0,0,0
India,Andaman And Nicobar Islands,North And Middle Andaman,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,Below 0.5,Marginal,0,0,0,0,0,0,0,0,0
India,Andaman And Nicobar Islands,North And Middle Andaman,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,20 & Above,Large,0,0,0,0,0,0,0,0,0
India,Andaman And Nicobar Islands,North And Middle Andaman,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,(7.5-10.0),Medium,0,0,0,0,0,0,0,0,0
India,Andaman And Nicobar Islands,North And Middle Andaman,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,(5.0-7.5),Medium,0,0,0,0,0,0,0,0,0
India,Andaman And Nicobar Islands,North And Middle Andaman,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,(4.0-5.0),Medium,0,0,0,0,0,0,0,0,0
India,Andaman And Nicobar Islands,North And Middle Andaman,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,(3.0-4.0),Semi-Medium,0,0,0,0,0,0,0,0,0
India,Andaman And Nicobar Islands,North And Middle Andaman,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,(2.0-3.0),Semi-Medium,0,0,0,0,0,0,0,0,0
India,Andaman And Nicobar Islands,North And Middle Andaman,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,(10.0-20.0),Large,0,0,0,0,0,0,0,0,0
India,Andaman And Nicobar Islands,North And Middle Andaman,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,(1.0-2.0),Small,0,0,0,0,0,0,0,0,0
India,Andaman And Nicobar Islands,North And Middle Andaman,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,(0.5-1.0),Marginal,0,0,0,0,0,0,0,0,0
India,Andaman And Nicobar Islands,North And Middle Andaman,"Agriculture Year (Jul - Jun), 2015",Others,Below 0.5,Marginal,0,0,1178,321.171,0,0,0,0,0
India,Andaman And Nicobar Islands,North And Middle Andaman,"Agriculture Year (Jul - Jun), 2015",Others,20 & Above,Large,0,0,0,0,0,0,0,0,0
India,Andaman And Nicobar Islands,North And Middle Andaman,"Agriculture Year (Jul - Jun), 2015",Others,(7.5-10.0),Medium,0,0,4,14.851,0,0,0,0,0
India,Andaman And Nicobar Islands,North And Middle Andaman,"Agriculture Year (Jul - Jun), 2015",Others,(5.0-7.5),Medium,0,0,21,68.264,0,0,0,0,0
India,Andaman And Nicobar Islands,North And Middle Andaman,"Agriculture Year (Jul - Jun), 2015",Others,(4.0-5.0),Medium,0,0,942,2755.214,0,0,0,0,0
India,Andaman And Nicobar Islands,North And Middle Andaman,"Agriculture Year (Jul - Jun), 2015",Others,(3.0-4.0),Semi-Medium,0,0,719,1731.183,1,0.202,3.037,1,0.202
India,Andaman And Nicobar Islands,North And Middle Andaman,"Agriculture Year (Jul - Jun), 2015",Others,(2.0-3.0),Semi-Medium,1,1.022,869,1345.583,0,0,0,1,1.022
India,Andaman And Nicobar Islands,North And Middle Andaman,"Agriculture Year (Jul - Jun), 2015",Others,(10.0-20.0),Large,0,0,0,0,0,0,0,0,0
India,Andaman And Nicobar Islands,North And Middle Andaman,"Agriculture Year (Jul - Jun), 2015",Others,(1.0-2.0),Small,0,0,1204,1542.471,0,0,0,0,0
India,Andaman And Nicobar Islands,North And Middle Andaman,"Agriculture Year (Jul - Jun), 2015",Others,(0.5-1.0),Marginal,0,0,859,441.84,0,0,0,0,0
India,Andaman And Nicobar Islands,North And Middle Andaman,"Agriculture Year (Jul - Jun), 2015",Institutional,Below 0.5,Marginal,0,0,39,4.343,0,0,0,0,0
India,Andaman And Nicobar Islands,North And Middle Andaman,"Agriculture Year (Jul - Jun), 2015",Institutional,20 & Above,Large,0,0,4,128.503,0,0,0,0,0
India,Andaman And Nicobar Islands,North And Middle Andaman,"Agriculture Year (Jul - Jun), 2015",Institutional,(7.5-10.0),Medium,1,8,2,7.866,0,0,0,1,8
India,Andaman And Nicobar Islands,North And Middle Andaman,"Agriculture Year (Jul - Jun), 2015",Institutional,(5.0-7.5),Medium,2,11.21,2,11.6,0,0,0,2,11.21
India,Andaman And Nicobar Islands,North And Middle Andaman,"Agriculture Year (Jul - Jun), 2015",Institutional,(4.0-5.0),Medium,0,0,5,15.601,0,0,0,0,0
India,Andaman And Nicobar Islands,North And Middle Andaman,"Agriculture Year (Jul - Jun), 2015",Institutional,(2.0-3.0),Semi-Medium,0,0,10,15.989,0,0,0,0,0
India,Andaman And Nicobar Islands,North And Middle Andaman,"Agriculture Year (Jul - Jun), 2015",Institutional,(10.0-20.0),Large,0,0,3,38.397,0,0,0,0,0
India,Andaman And Nicobar Islands,North And Middle Andaman,"Agriculture Year (Jul - Jun), 2015",Institutional,(1.0-2.0),Small,0,0,11,9.393,0,0,0,0,0
India,Andaman And Nicobar Islands,North And Middle Andaman,"Agriculture Year (Jul - Jun), 2015",Institutional,(0.5-1.0),Marginal,0,0,12,4.774,0,0,0,0,0
India,Andaman And Nicobar Islands,South Andamans,"Agriculture Year (Jul - Jun), 2015",Scheduled Tribes,Below 0.5,Marginal,0,0,0,0,0,0,0,0,0
India,Andaman And Nicobar Islands,South Andamans,"Agriculture Year (Jul - Jun), 2015",Scheduled Tribes,20 & Above,Large,0,0,0,0,0,0,0,0,0
India,Andaman And Nicobar Islands,South Andamans,"Agriculture Year (Jul - Jun), 2015",Scheduled Tribes,(7.5-10.0),Medium,0,0,0,0,0,0,0,0,0
India,Andaman And Nicobar Islands,South Andamans,"Agriculture Year (Jul - Jun), 2015",Scheduled Tribes,(5.0-7.5),Medium,0,0,0,0,0,0,0,0,0
India,Andaman And Nicobar Islands,South Andamans,"Agriculture Year (Jul - Jun), 2015",Scheduled Tribes,(4.0-5.0),Medium,0,0,0,0,0,0,0,0,0
India,Andaman And Nicobar Islands,South Andamans,"Agriculture Year (Jul - Jun), 2015",Scheduled Tribes,(3.0-4.0),Semi-Medium,0,0,0,0,0,0,0,0,0
India,Andaman And Nicobar Islands,South Andamans,"Agriculture Year (Jul - Jun), 2015",Scheduled Tribes,(2.0-3.0),Semi-Medium,0,0,0,0,0,0,0,0,0
India,Andaman And Nicobar Islands,South Andamans,"Agriculture Year (Jul - Jun), 2015",Scheduled Tribes,(10.0-20.0),Large,0,0,0,0,0,0,0,0,0
India,Andaman And Nicobar Islands,South Andamans,"Agriculture Year (Jul - Jun), 2015",Scheduled Tribes,(1.0-2.0),Small,0,0,0,0,0,0,0,0,0
India,Andaman And Nicobar Islands,South Andamans,"Agriculture Year (Jul - Jun), 2015",Scheduled Tribes,(0.5-1.0),Marginal,0,0,0,0,0,0,0,0,0
India,Andaman And Nicobar Islands,South Andamans,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,Below 0.5,Marginal,0,0,0,0,0,0,0,0,0
India,Andaman And Nicobar Islands,South Andamans,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,20 & Above,Large,0,0,0,0,0,0,0,0,0
India,Andaman And Nicobar Islands,South Andamans,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,(7.5-10.0),Medium,0,0,0,0,0,0,0,0,0
India,Andaman And Nicobar Islands,South Andamans,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,(5.0-7.5),Medium,0,0,0,0,0,0,0,0,0
India,Andaman And Nicobar Islands,South Andamans,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,(4.0-5.0),Medium,0,0,0,0,0,0,0,0,0
India,Andaman And Nicobar Islands,South Andamans,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,(3.0-4.0),Semi-Medium,0,0,0,0,0,0,0,0,0
India,Andaman And Nicobar Islands,South Andamans,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,(2.0-3.0),Semi-Medium,0,0,0,0,0,0,0,0,0
India,Andaman And Nicobar Islands,South Andamans,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,(10.0-20.0),Large,0,0,0,0,0,0,0,0,0
India,Andaman And Nicobar Islands,South Andamans,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,(1.0-2.0),Small,0,0,0,0,0,0,0,0,0
India,Andaman And Nicobar Islands,South Andamans,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,(0.5-1.0),Marginal,0,0,0,0,0,0,0,0,0
India,Andaman And Nicobar Islands,South Andamans,"Agriculture Year (Jul - Jun), 2015",Others,Below 0.5,Marginal,10,9.446,645,213.283,5,2.688,3.893,15,12.134
India,Andaman And Nicobar Islands,South Andamans,"Agriculture Year (Jul - Jun), 2015",Others,20 & Above,Large,0,0,0,0,0,0,0,0,0
India,Andaman And Nicobar Islands,South Andamans,"Agriculture Year (Jul - Jun), 2015",Others,(7.5-10.0),Medium,0,0,3,18.59,0,0,0,0,0
India,Andaman And Nicobar Islands,South Andamans,"Agriculture Year (Jul - Jun), 2015",Others,(5.0-7.5),Medium,0,0,12,59.385,5,6.581,18.616,5,6.581
India,Andaman And Nicobar Islands,South Andamans,"Agriculture Year (Jul - Jun), 2015",Others,(4.0-5.0),Medium,0,0,110,264.487,22,14.657,24.81,22,14.657
India,Andaman And Nicobar Islands,South Andamans,"Agriculture Year (Jul - Jun), 2015",Others,(3.0-4.0),Semi-Medium,1,0.644,98,152.925,39,38.004,63.063,40,38.648
India,Andaman And Nicobar Islands,South Andamans,"Agriculture Year (Jul - Jun), 2015",Others,(2.0-3.0),Semi-Medium,0,0,832,1411.237,32,21.265,38.904,32,21.265
India,Andaman And Nicobar Islands,South Andamans,"Agriculture Year (Jul - Jun), 2015",Others,(10.0-20.0),Large,0,0,2,14.029,0,0,0,0,0
India,Andaman And Nicobar Islands,South Andamans,"Agriculture Year (Jul - Jun), 2015",Others,(1.0-2.0),Small,47,49.971,860,795.735,65,27.112,55.563,112,77.083
India,Andaman And Nicobar Islands,South Andamans,"Agriculture Year (Jul - Jun), 2015",Others,(0.5-1.0),Marginal,45,38.444,571,272.139,84,23.405,41.06,129,61.849
India,Andaman And Nicobar Islands,South Andamans,"Agriculture Year (Jul - Jun), 2015",Institutional,Below 0.5,Marginal,0,0,6,0.924,2,0.26,0.332,2,0.26
India,Andaman And Nicobar Islands,South Andamans,"Agriculture Year (Jul - Jun), 2015",Institutional,20 & Above,Large,0,0,11,619.829,0,0,0,0,0
India,Andaman And Nicobar Islands,South Andamans,"Agriculture Year (Jul - Jun), 2015",Institutional,(7.5-10.0),Medium,0,0,1,8.207,0,0,0,0,0
India,Andaman And Nicobar Islands,South Andamans,"Agriculture Year (Jul - Jun), 2015",Institutional,(5.0-7.5),Medium,0,0,2,8.9,0,0,0,0,0
India,Andaman And Nicobar Islands,South Andamans,"Agriculture Year (Jul - Jun), 2015",Institutional,(4.0-5.0),Medium,0,0,3,9.513,0,0,0,0,0
India,Andaman And Nicobar Islands,South Andamans,"Agriculture Year (Jul - Jun), 2015",Institutional,(3.0-4.0),Semi-Medium,0,0,1,0.256,1,0.913,2.739,1,0.913
India,Andaman And Nicobar Islands,South Andamans,"Agriculture Year (Jul - Jun), 2015",Institutional,(2.0-3.0),Semi-Medium,0,0,10,15.132,1,0.163,0.489,1,0.163
India,Andaman And Nicobar Islands,South Andamans,"Agriculture Year (Jul - Jun), 2015",Institutional,(10.0-20.0),Large,0,0,4,37.971,0,0,0,0,0
India,Andaman And Nicobar Islands,South Andamans,"Agriculture Year (Jul - Jun), 2015",Institutional,(1.0-2.0),Small,1,1.426,12,13.603,0,0,0,1,1.426
India,Andaman And Nicobar Islands,South Andamans,"Agriculture Year (Jul - Jun), 2015",Institutional,(0.5-1.0),Marginal,0,0,10,2.964,0,0,0,0,0
India,Andhra Pradesh,Ananthapuramu,"Agriculture Year (Jul - Jun), 2015",Institutional,(0.5-1.0),Marginal,42,29.37,9,6.756,0,0,0,42,29.37
India,Andhra Pradesh,Ananthapuramu,"Agriculture Year (Jul - Jun), 2015",Institutional,(1.0-2.0),Small,44,60.992,11,16.061,0,0,0,44,60.992
India,Andhra Pradesh,Ananthapuramu,"Agriculture Year (Jul - Jun), 2015",Institutional,(10.0-20.0),Large,80,1161.68,19,104.5,17,75.061,151.067,97,1236.741
India,Andhra Pradesh,Ananthapuramu,"Agriculture Year (Jul - Jun), 2015",Institutional,(2.0-3.0),Semi-Medium,76,185.405,26,60.485,0,0,0,76,185.405
India,Andhra Pradesh,Ananthapuramu,"Agriculture Year (Jul - Jun), 2015",Institutional,(3.0-4.0),Semi-Medium,49,159.181,17,53.547,7,9.952,21.487,56,169.133
India,Andhra Pradesh,Ananthapuramu,"Agriculture Year (Jul - Jun), 2015",Institutional,(4.0-5.0),Medium,31,130.995,29,106,0,0,0,31,130.995
India,Andhra Pradesh,Ananthapuramu,"Agriculture Year (Jul - Jun), 2015",Institutional,(5.0-7.5),Medium,53,335.492,26,144.467,0,0,0,53,335.492
India,Andhra Pradesh,Ananthapuramu,"Agriculture Year (Jul - Jun), 2015",Institutional,(7.5-10.0),Medium,75,634.968,21,135,0,0,0,75,634.968
India,Andhra Pradesh,Ananthapuramu,"Agriculture Year (Jul - Jun), 2015",Institutional,20 & Above,Large,65,5063.016,2,23.454,6,342.141,739.025,71,5405.157
India,Andhra Pradesh,Ananthapuramu,"Agriculture Year (Jul - Jun), 2015",Institutional,Below 0.5,Marginal,43,11.13,14,2.972,0,0,0,43,11.13
India,Andhra Pradesh,Ananthapuramu,"Agriculture Year (Jul - Jun), 2015",Others,(0.5-1.0),Marginal,22652,14061.198,82380,54285.314,5437,1685.038,3887.645,28089,15746.236
India,Andhra Pradesh,Ananthapuramu,"Agriculture Year (Jul - Jun), 2015",Others,(1.0-2.0),Small,31983,34988.911,155424,190626.963,17204,9993.441,23649.653,49187,44982.352
India,Andhra Pradesh,Ananthapuramu,"Agriculture Year (Jul - Jun), 2015",Others,(10.0-20.0),Large,318,2970.89,957,8105.13,1051,3813.33,10183.173,1369,6784.22
India,Andhra Pradesh,Ananthapuramu,"Agriculture Year (Jul - Jun), 2015",Others,(2.0-3.0),Semi-Medium,15480,25559.051,81660,148930.651,14591,12506.679,29420.788,30071,38065.73
India,Andhra Pradesh,Ananthapuramu,"Agriculture Year (Jul - Jun), 2015",Others,(3.0-4.0),Semi-Medium,3897,8629.673,21824,59733.14,6991,8395.552,19990.277,10888,17025.225
India,Andhra Pradesh,Ananthapuramu,"Agriculture Year (Jul - Jun), 2015",Others,(4.0-5.0),Medium,1900,5252.889,9786,33645.793,3744,5645.347,13726.574,5644,10898.236
India,Andhra Pradesh,Ananthapuramu,"Agriculture Year (Jul - Jun), 2015",Others,(5.0-7.5),Medium,1440,5127.121,6767,31559.334,3732,7424.661,18134.172,5172,12551.782
India,Andhra Pradesh,Ananthapuramu,"Agriculture Year (Jul - Jun), 2015",Others,(7.5-10.0),Medium,362,2013.302,1772,10903.032,1322,3670.135,8412.348,1684,5683.437
India,Andhra Pradesh,Ananthapuramu,"Agriculture Year (Jul - Jun), 2015",Others,20 & Above,Large,118,7228.569,13,320.455,69,1239.534,3899.856,187,8468.103
India,Andhra Pradesh,Ananthapuramu,"Agriculture Year (Jul - Jun), 2015",Others,Below 0.5,Marginal,13499,3805.439,45956,13856.908,1398,228.121,468.413,14897,4033.56
India,Andhra Pradesh,Ananthapuramu,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,(0.5-1.0),Marginal,3130,1904.324,12391,7996.782,466,145.996,321.913,3596,2050.32
India,Andhra Pradesh,Ananthapuramu,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,(1.0-2.0),Small,3397,3774.928,13864,16209.43,1102,693.331,1489.542,4499,4468.259
India,Andhra Pradesh,Ananthapuramu,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,(10.0-20.0),Large,22,270.96,3,29.995,0,0,0,22,270.96
India,Andhra Pradesh,Ananthapuramu,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,(2.0-3.0),Semi-Medium,1547,2789.466,5933,9885.235,979,805.099,1773.578,2526,3594.565
India,Andhra Pradesh,Ananthapuramu,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,(3.0-4.0),Semi-Medium,340,1021.815,480,1105.655,169,193.734,531.303,509,1215.549
India,Andhra Pradesh,Ananthapuramu,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,(4.0-5.0),Medium,147,645.79,126,345.937,78,124.973,281.997,225,770.763
India,Andhra Pradesh,Ananthapuramu,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,(5.0-7.5),Medium,93,540.02,72,358.57,30,27.279,146.191,123,567.299
India,Andhra Pradesh,Ananthapuramu,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,(7.5-10.0),Medium,34,291.76,5,29.394,0,0,0,34,291.76
India,Andhra Pradesh,Ananthapuramu,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,20 & Above,Large,5,569.735,0,0,1,21.465,26.325,6,591.2
India,Andhra Pradesh,Ananthapuramu,"Agriculture Year (Jul - Jun), 2015",Scheduled Caste,Below 0.5,Marginal,2189,623.102,6667,2185.203,215,30.649,64.671,2404,653.751
India,Andhra Pradesh,Ananthapuramu,"Agriculture Year (Jul - Jun), 2015",Scheduled Tribes,(0.5-1.0),Marginal,1317,935.482,3921,2488.94,140,44.439,100.638,1457,979.921
India,Andhra Pradesh,Ananthapuramu,"Agriculture Year (Jul - Jun), 2015",Scheduled Tribes,(1.0-2.0),Small,1559,1920.887,7603,8963.83,383,245.909,548.531,1942,2166.796
India,Andhra Pradesh,Ananthapuramu,"Agriculture Year (Jul - Jun), 2015",Scheduled Tribes,(10.0-20.0),Large,14,170.72,0,0,0,0,0,14,170.72
India,Andhra Pradesh,Ananthapuramu,"Agriculture Year (Jul - Jun), 2015",Scheduled Tribes,(2.0-3.0),Semi-Medium,714,1450.64,2962,5220.829,474,408.613,897.682,1188,1859.253
